name,type,latitude,longitude
Pop Maria,LOG,47.044949,25.490114
Rovidana,LOG,46.950001,25.375119
Swerom,LOG,46.451721,25.76777
Tamas Berni,LOG,46.872897,25.681903
UniRom Forest,LOG,46.499278,26.200565
1Vag Oil International Lepsa,LOG,45.951667,26.574241
Rar Forest,LOG,45.943533,26.478324
T T company,LOG,46.333285,25.963442
Romdam,LOG,45.661179,26.066334
Lignum,LOG,46.354212,26.434967
Anymarilen,LOG,47.226629,24.743466
Horforest,LOG,45.638528,25.999043
Ciambur,LOG,45.858335,26.176861
Alemais,LOG,46.513532,25.155029
GT Green Gold,LOG,45.499859,26.435375
Lavione Tex,LOG,47.418125,24.789682
Dragan Comert,LOG,46.887752,22.825246
First Elia Tom 1 Curtea de Arges,LOG,45.182514,24.669251
Profi Tibe,LOG,46.961255,24.906039
OS Sfanta Maria,LOG,46.784262,22.68138
Valmel Star,LOG,46.21488,23.682977
Explonel Baiesti,LOG,45.541637,23.000742
Liovic Transprest,LOG,47.239433,26.073904
Unilemn,LOG,45.470244,24.328709
Loben Expert,LOG,47.745983,25.508535
OS Crucea Dep Barnar,LOG,47.286242,25.630568
OS Crucea Dep Crucea,LOG,47.353574,25.608003
Baltri Forest,LOG,45.381057,21.758421
SV Mirfor,LOG,45.258726,22.294273
Bax Trans,LOG,45.67539,24.194623
DCMM Colect Product,LOG,44.977701,24.943342
Argela Universal,LOG,47.76261,25.44049
Bitca Niculae,LOG,47.16523,25.80327
Mitru Danut Trans Impex,LOG,47.83415,24.397595
Etcu Explo,LOG,47.760315,25.852283
Alredia si Lacul Codrilor Ozun,LOG,45.803914,25.83943
Taf Com,LOG,46.668418,25.798948
Tatar Butka,LOG,46.806326,25.49009
Clax Forest,LOG,47.143986,25.804542
Ipa Company,LOG,46.352824,25.286102
Henorag,LOG,46.449681,25.84461
Mesar,LOG,45.751391,25.008486
L&SZ,LOG,45.947587,26.216018
BiomasaEnergyLemn Frasin,LOG,47.529644,25.798707
Rebforest,LOG,47.785795,25.764066
OS Vaduri,LOG,46.917965,26.19044
Pall Dom,LOG,46.208877,25.908316
1Cedrus Baum,LOG,46.292741,25.850975
Harzoly,LOG,46.207121,25.901423
Molidul Impex,LOG,45.31298,26.357058
IKER,LOG,46.738559,25.522286
Explosiv Group,LOG,46.267935,25.883016
MRD Forest,LOG,47.053444,25.897688
Emil Com,LOG,46.94018,25.369005
Benedek Forest Sanmartin,LOG,46.267566,25.938825
Lavione Tex dep Sieu,LOG,46.999555,24.618189
I.I. Husanu Constantin ,LOG,47.363538,26.265639
Ady ,LOG,45.262216,24.529005
Narilserv,LOG,47.72683,25.5228
Maistru Sif Trans Com,LOG,47.59737,25.62519
Laurman Digis,LOG,47.64604,25.63501
Petrifor,LOG,47.76118,25.45497
Bogdan Ciciou,LOG,47.858743,23.41423
Sildadfor ,LOG,47.182177,24.806392
Forgavpi Company,LOG,47.213942,24.850112
Asirex Star ,LOG,47.2192,24.710652
Bozga Forest,LOG,47.22433,24.817005
Grifor Serv,LOG,47.246337,26.644211
Carpenul Pipirig,LOG,47.199104,25.990003
Titi Mari,LOG,45.771296,26.122927
Limsilva Dep. Musina,LOG,45.797337,26.621895
HSR Sebes,LOG,45.967051,23.549247
1Prod For,LOG,45.424847,26.302848
Geo Sylv Nik,LOG,46.494255,26.373779
Dako Alfa Impex,LOG,46.193369,25.914074
Myroforest,LOG,45.292606,25.996052
Austroforest D. Stulpicani,LOG,47.45224,25.73155
Agis Com,LOG,46.36191,25.951979
Ludfor Oasa,LOG,45.60012,23.654319
Servicii Forestiere MD,LOG,47.55229,25.940248
Faustino,LOG,47.638563,25.512328
EFFER COM ,LOG,47.23284,25.38139
WOLFVAL,LOG,47.3795,25.32332
Ciador Beauty Center,LOG,47.249224,25.319749
Alfadin Mestera,LOG,46.966789,25.195594
Marsinca Truck,LOG,47.782224,24.269697
Hsr Reci Depozit temporar Potoci,LOG,46.97604,26.1163
Petromobex Impex,LOG,47.364219,24.87177
Lemncer Forest,LOG,47.226532,24.739
Asirex Star Carlibaba,LOG,47.573351,25.123883
HSR Radauti,LOG,47.85421268,25.96863946
